id|user|created_at|text|lang|label
1499170960037011465|14125897|Wed Mar 02 23:53:04 +0000 2022|I'm wishing @RennyCushing health and healing as he takes a medical leave of absence. My thoughts are with Rep. Cush… https://t.co/etdfxogps9|en|Democratic Party
1498034618964062214|14125897|Sun Feb 27 20:37:39 +0000 2022|Happy birthday, @Maggie_Hassan! Thank you for all you do every day for the Granite State - it's an honor to work al… https://t.co/eyKA8CP0kw|en|Democratic Party
1484932088025522181|14125897|Sat Jan 22 16:52:53 +0000 2022|"Today is the 49th anniversary of Roe v. Wade, and we need to make sure it’s not the last.

GOP lawmakers in NH and… https://t.co/1wV6RFIMr4"|en|Democratic Party
1483100469316706305|14125897|Mon Jan 17 15:34:41 +0000 2022|It’s been 22 years since I signed the bill to make #MLKDay a state holiday in NH - one of my proudest days as NH Go… https://t.co/cEjsZEkqW7|en|Democratic Party
1479851296391897088|14125897|Sat Jan 08 16:23:38 +0000 2022|Congratulations to all the municipal leaders across New Hampshire who were sworn in this week. Thank you for steppi… https://t.co/02A1uDoTrK|en|Democratic Party
1478410045637468161|14125897|Tue Jan 04 16:56:37 +0000 2022|Congratulations to Manchester Mayor @JoyceCraigNH and all municipal leaders sworn in this morning! Thank you for ev… https://t.co/1kjPHO8yGu|en|Democratic Party
1478190712067923972|14125897|Tue Jan 04 02:25:03 +0000 2022|Congratulations to Portsmouth’s new Mayor @DeaglanM, Assistant Mayor Joanna Kelley - the first woman of color to ho… https://t.co/QWBE7Qdomi|en|Democratic Party
1477313052659834885|14125897|Sat Jan 01 16:17:33 +0000 2022|From my family to yours, wishing you a healthy and joyous new year. https://t.co/UxZE3njD9g|en|Democratic Party
1474764809518342147|14125897|Sat Dec 25 15:31:45 +0000 2021|Merry Christmas to all those celebrating in NH and around the world! Wishing everyone a joyous and safe holiday sea… https://t.co/vUcC0aBlqT|en|Democratic Party
1472741275149516804|14125897|Mon Dec 20 01:30:56 +0000 2021|Congratulations!! 🎉 https://t.co/tkBe6Uw6on|en|Democratic Party
1470110252536373252|14125897|Sun Dec 12 19:16:12 +0000 2021|It was great to join @NHDems last night to celebrate our state’s amazing local leaders and their huge accomplishmen… https://t.co/zZNh1Jtc7p|en|Democratic Party
1467211343430361091|14125897|Sat Dec 04 19:16:58 +0000 2021|This is great news for New Hampshire! My friend @ChrisPappasNH has delivered real results for Granite Staters, and… https://t.co/rWt72YqNPh|en|Democratic Party
1463874418443276302|14125897|Thu Nov 25 14:17:13 +0000 2021|From the Shaheen family to yours, have a happy and safe Thanksgiving! https://t.co/leX5sgl0al|en|Democratic Party
1460004578833932298|14125897|Sun Nov 14 21:59:51 +0000 2021|Happy birthday, @ChairmanBuckley! Thank you for everything you do for the Granite State. Here’s to another great year ahead!|en|Democratic Party
1459520077712310275|14125897|Sat Nov 13 13:54:37 +0000 2021|"Good morning, New Hampshire Democrats! 

On the heels of last week’s Democratic victories in municipal races across… https://t.co/0JlXkJDPDU"|en|Democratic Party
1458824366515539973|14125897|Thu Nov 11 15:50:07 +0000 2021|Congratulations to Rep. Andrew Maneval, who was sworn in yesterday! I look forward to seeing the great work you'll do in Concord.|en|Democratic Party
1455746456724418561|14125897|Wed Nov 03 03:59:36 +0000 2021|Congratulations to Portsmouth Mayor-Elect @DeaglanM and Claremont Mayor-Elect Dale Girard, both of whom flipped the… https://t.co/0lbAqDzc8E|en|Democratic Party
1455743081949679619|14125897|Wed Nov 03 03:46:11 +0000 2021|Congratulations to Concord Mayor @jpbmayor, Somersworth Mayor @DanaHilliard_NH, Dover Mayor Bob Carrier and Berlin… https://t.co/UAjaqrMGho|en|Democratic Party
